version	timestamp	score	delta
v1.0	2025-04-16T10:30	56.74	-
v2.0-r1	2025-04-16T10:45	77.27	+20.53
v2.0-r2	2025-04-16T10:55	78.83	+1.56
v2.0-r3	2025-04-16T11:05	82.16	+3.33
